Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,"CY 22
Enplanement s","CY 21
Enplanement s",% Change
54,WP,CA,BUR,Burbank,Bob Hope,P,M,"3,054,729","1,942,417",57.26%
55,NE,CT,BDL,Windsor Locks,Bradley International,P,M,"2,844,713","2,273,259",25.14%
56,WP,CA,ONT,Ontario,Ontario International,P,M,"2,840,758","2,201,528",29.04%
57,GL,WI,MKE,Milwaukee,General Mitchell International,P,M,"2,660,187","2,231,010",19.24%
58,SO,SC,CHS,Charleston,Charleston AFB/International,P,M,"2,608,497","2,015,277",29.44%
59,AL,AK,ANC,Anchorage,"Ted Stevens Anchorage
International",P,M,"2,604,308","2,184,959",19.19%
60,SW,NM,ABQ,Albuquerque,Albuquerque International Sunport,P,M,"2,317,836","1,688,646",37.26%
61,NM,ID,BOI,Boise,Boise Air Trml/Gowen Field,P,M,"2,230,467","1,809,000",23.30%
62,CE,NE,OMA,Omaha,Eppley Airfield,P,M,"2,204,395","1,829,912",20.46%
63,SO,TN,MEM,Memphis,Memphis International,P,M,"2,163,692","1,793,073",20.67%
64,WP,NV,RNO,Reno,Reno/Tahoe International,P,M,"2,132,856","1,781,785",19.70%
,,,33,Medium Count,,,,,,
65,EA,VA,ORF,Norfolk,Norfolk International,P,S,"2,065,116","1,658,024",24.55%
66,EA,VA,RIC,"Highland
Springs",Richmond International,P,S,"2,042,834","1,603,149",27.43%
67,EA,NY,BUF,Buffalo,Buffalo Niagara International,P,S,"2,007,508","1,427,891",40.59%
68,WP,HI,KOA,Kailua Kona,"Ellison Onizuka Kona International
at Keahole",P,S,"2,006,013","1,404,584",42.82%
69,SW,TX,ELP,El Paso,El Paso International,P,S,"1,931,067","1,438,321",34.26%
70,SW,OK,OKC,Oklahoma City,Will Rogers World,P,S,"1,928,418","1,632,197",18.15%
71,SO,FL,SRQ,Sarasota,Sarasota/Bradenton International,P,S,"1,911,999","1,574,063",21.47%
72,NM,WA,GEG,Spokane,Spokane International,P,S,"1,905,541","1,586,110",20.14%
73,SO,KY,SDF,Louisville,"Louisville Muhammad Ali
International",P,S,"1,893,647","1,529,472",23.81%
74,WP,HI,LIH,Lihue,Lihue,P,S,"1,786,786","1,039,607",71.87%
75,SO,GA,SAV,Savannah,Savannah/Hilton Head International,P,S,"1,726,444","1,360,214",26.92%
76,GL,MI,GRR,Grand Rapids,Gerald R Ford International,P,S,"1,716,904","1,450,377",18.38%
77,SO,SC,MYR,Myrtle Beach,Myrtle Beach International,P,S,"1,706,591","1,579,987",8.01%
78,WP,AZ,TUS,Tucson,Tucson International,P,S,"1,699,305","1,323,536",28.39%
79,WP,CA,LGB,Long Beach,Long Beach (Daugherty Field),P,S,"1,600,987","1,039,432",54.03%
80,NE,RI,PVD,Warwick,"Rhode Island Tf Green
International",P,S,"1,571,905","1,159,679",35.55%
81,WP,CA,PSP,Palm Springs,Palm Springs International,P,S,"1,499,987","1,044,045",43.67%
82,SW,OK,TUL,Tulsa,Tulsa International,P,S,"1,447,126","1,154,527",25.34%
83,CE,IA,DSM,Des Moines,Des Moines International,P,S,"1,368,130","1,066,826",28.24%
84,SO,FL,SFB,Sanford,Orlando Sanford International,P,S,"1,367,935","1,174,471",16.47%
85,SO,AL,BHM,Birmingham,"Birmingham-Shuttlesworth
International",P,S,"1,331,035","1,081,328",23.09%
86,EA,NY,ALB,Albany,Albany International,P,S,"1,277,329","966,201",32.20%
87,EA,NY,SYR,Syracuse,Syracuse Hancock International,P,S,"1,244,921","840,994",48.03%
88,SO,FL,PIE,Clearwater,St Pete-Clearwater International,P,S,"1,221,120","1,021,007",19.60%
89,SO,TN,TYS,Alcoa,McGhee Tyson,P,S,"1,216,383","976,601",24.55%
90,SO,FL,PNS,Pensacola,Pensacola International,P,S,"1,211,919","1,168,575",3.71%
Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,"CY 22
Enplanement s","CY 21
Enplanement s",% Change
91,EA,NY,ROC,Rochester,"Frederick Douglass/Greater
Rochester International",P,S,"1,156,276","769,560",50.25%
92,NM,MT,BZN,Bozeman,Bozeman Yellowstone International,P,S,"1,136,170","973,715",16.68%
93,NM,CO,COS,"Colorado
Springs",City of Colorado Springs Municipal,P,S,"1,080,060","941,917",14.67%
94,WP,CA,FAT,Fresno,Fresno Yosemite International,P,S,"1,077,710","960,594",12.19%
95,SO,SC,GSP,Greer,"Greenville Spartanburg
International",P,S,"1,070,422","878,450",21.85%
96,SO,FL,VPS,Valparaiso,Eglin AFB/Destin-Ft Walton Beach,P,S,"985,567","973,477",1.24%
97,SW,AR,LIT,Little Rock,"Bill and Hillary Clinton Ntl/Adams
Field",P,S,"983,530","827,922",18.80%
98,NE,ME,PWM,Portland,Portland International Jetport,P,S,"982,834","854,142",15.07%
99,WP,AZ,IWA,Mesa,Phoenix-Mesa Gateway,P,S,"973,491","795,407",22.39%
100,SO,FL,PGD,Punta Gorda,Punta Gorda,P,S,"920,673","783,397",17.52%
101,SO,NC,AVL,Asheville,Asheville Regional,P,S,"919,929","722,892",27.26%
102,EA,NY,HPN,White Plains,Westchester County,P,S,"916,700","547,011",67.58%
103,GL,WI,MSN,Madison,Dane County Regional/Truax Field,P,S,"916,230","699,167",31.05%
