Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,"CY 22
Enplanement s","CY 21
Enplanement s",% Change
282,SO,PR,VQS,Vieques,Antonio Rivera Rodriguez,P,N,"39,529","36,748",7.57%
283,SO,AL,DHN,Dothan,Dothan Regional,P,N,"38,517","37,047",3.97%
284,SO,GA,VLD,Valdosta,Valdosta Regional,P,N,"38,517","38,736",-0.57%
285,WP,HI,LNY,Lanai City,Lanai,P,N,"37,741","24,226",55.79%
286,NM,WY,COD,Cody,Yellowstone Regional,P,N,"37,729","37,349",1.02%
287,AL,AK,AKN,King Salmon,King Salmon,P,N,"37,574","29,914",25.61%
288,AL,AK,BRW,Barrow,Wiley Post-Will Rogers Memorial,P,N,"37,530","31,898",17.66%
289,NM,WA,YKM,Yakima,Yakima Air Trml/McAllister Field,P,N,"36,383","46,658",-22.02%
290,SW,AR,TXK,Texarkana,Texarkana Regional-Webb Field,P,N,"35,590","26,888",32.36%
291,AL,AK,HOM,Homer,Homer,P,N,"35,403","30,972",14.31%
292,SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,"35,023","31,796",10.15%
293,NM,WA,EAT,"East
Wenatchee",Pangborn Memorial,P,N,"34,721","48,344",-28.18%
294,SO,GA,BQK,Brunswick,Brunswick Golden Isles,P,N,"34,373","35,856",-4.14%
295,NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,"33,821","39,138",-13.59%
296,AL,AK,DLG,Dillingham,Dillingham,P,N,"32,805","25,988",26.23%
297,WP,AZ,1G4,Peach Springs,Grand Canyon West,P,N,"32,726","18,498",76.92%
298,SO,NC,PGV,Greenville,Pitt-Greenville,P,N,"32,448","34,778",-6.70%
299,EA,MD,HGR,Hagerstown,"Hagerstown Regional/Richard A
Henson Field",P,N,"32,197","23,227",38.62%
300,CE,KS,GCK,Garden City,Garden City Regional,P,N,"29,628","28,525",3.87%
302,SO,SC,FLO,Florence,Florence Regional,P,N,"29,064","23,028",26.21%
303,SO,PR,RVR,Ceiba,Jose Aponte De La Torre,P,N,"28,966","30,457",-4.90%
304,SW,OK,SWO,Stillwater,Stillwater Regional,P,N,"28,867","20,328",42.01%
305,SW,TX,SPS,Wichita Falls,"Sheppard AFB/Wichita Falls
Municipal",P,N,"27,720","32,038",-13.48%
306,WP,MP,TNI,"Tinian
(Municipality)",Tinian International,P,N,"26,926","24,169",11.41%
307,SW,TX,DRT,Del Rio,Del Rio International,P,N,"26,641","19,879",34.02%
308,GL,MN,BJI,Bemidji,Bemidji Regional,P,N,"26,478","25,994",1.86%
309,SW,TX,GGG,Longview,East Texas Regional,P,N,"25,982","23,942",8.52%
310,CE,IA,SUX,Sioux City,"Sioux Gateway/Brig General Bud
Day Field",P,N,"25,874","31,101",-16.81%
311,GL,MI,PLN,Pellston,Pellston Regional/Emmet County,P,N,"25,408","29,241",-13.11%
312,NM,WY,SHR,Sheridan,Sheridan County,P,N,"25,104","23,920",4.95%
313,SW,TX,BPT,Beaumont,Jack Brooks Regional,P,N,"24,882","21,914",13.54%
314,NM,WY,GCC,Gillette,Northeast Wyoming Regional,P,N,"24,144","23,873",1.14%
315,WP,AZ,PRC,Prescott,"Prescott Regional - Ernest A Love
Field",P,N,"24,100","23,598",2.13%
316,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,"23,955","20,690",15.78%
317,GL,MI,CMX,Hancock,Houghton County Memorial,P,N,"22,672","21,046",7.73%
318,CE,NE,EAR,Kearney,Kearney Regional,P,N,"22,283","25,355",-12.12%
319,GL,MI,CIU,Sault Ste. Marie,Chippewa County International,P,N,"22,147","17,356",27.60%
320,SO,PR,CPX,Culebra,Benjamin Rivera Noriega,P,N,"21,788","27,023",-19.37%
Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,"CY 22
Enplanement s","CY 21
Enplanement s",% Change
321,GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,"21,776","21,850",-0.34%
322,NM,WA,BFI,Seattle,"Boeing Field/King County
International",P,N,"21,717","17,774",22.18%
323,WP,AS,PPG,Pago Pago,Pago Pago International,P,N,"21,690","8,000",171.13%
324,GL,ND,DIK,Dickinson,"Dickinson/Theodore Roosevelt
Regional",P,N,"21,606","17,506",23.42%
326,AL,AK,DUT,Unalaska,Unalaska,P,N,"21,034","19,099",10.13%
327,GL,WI,RHI,Rhinelander,Rhinelander/Oneida County,P,N,"20,922","26,252",-20.30%
328,CE,MO,JLN,Joplin,Joplin Regional,P,N,"20,786","26,698",-22.14%
329,GL,MI,IMT,Iron Mountain,Ford,P,N,"20,727","14,863",39.45%
330,WP,AZ,PGA,Page,Page Municipal,P,N,"20,403","14,340",42.28%
331,EA,NY,ART,Watertown,Watertown International,P,N,"20,379","19,920",2.30%
332,GL,MI,ESC,Escanaba,Delta County,P,N,"20,339","14,780",37.61%
333,GL,MN,BRD,Brainerd,Brainerd Lakes Regional,P,N,"20,311","18,790",8.09%
334,CE,KS,SLN,Salina,Salina Regional,P,N,"20,252","19,407",4.35%
335,NM,WY,CYS,Cheyenne,"Cheyenne Regional/Jerry Olson
Field",P,N,"19,764","4,408",348.37%
336,NM,UT,CNY,Moab,Canyonlands Regional,P,N,"18,841","20,093",-6.23%
337,GL,MN,STC,St. Cloud,St. Cloud Regional,P,N,"18,347","16,632",10.31%
338,NM,MT,BTM,Butte,Bert Mooney,P,N,"18,194","16,707",8.90%
339,NM,WY,LAR,Laramie,Laramie Regional,P,N,"17,982","16,728",7.50%
340,SW,NM,HOB,Hobbs,Lea County Regional,P,N,"17,843","11,993",48.78%
341,GL,WI,EAU,Eau Claire,Chippewa Valley Regional,P,N,"17,346","19,860",-12.66%
342,NM,OR,OTH,North Bend,Southwest Oregon Regional,P,N,"17,061","13,552",25.89%
343,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,"16,844","15,058",11.86%
344,SO,PR,SIG,San Juan,Fernando Luis Ribas Dominicci,P,N,"16,600","16,569",0.19%
345,NM,ID,TWF,Twin Falls,Joslin Field/Magic Valley Regional,P,N,"16,548","34,959",-52.66%
346,GL,SD,PIR,Pierre,Pierre Regional,P,N,"16,441","17,510",-6.11%
347,CE,IA,ALO,Waterloo,Waterloo Regional,P,N,"16,328","14,367",13.65%
348,AL,AK,AKW,Klawock,Klawock,P,N,"16,167","14,157",14.20%
349,WP,CA,SMX,Santa Maria,"Santa Maria Public/Capt G Allan
Hancock Field",P,N,"15,911","27,916",-43.00%
350,CE,IA,DBQ,Dubuque,Dubuque Regional,P,N,"15,673","18,867",-16.93%
351,SO,KY,OWB,Owensboro,"Owensboro/Daviess County
Regional",P,N,"15,636","13,396",16.72%
352,SO,MS,TUP,Tupelo,Tupelo Regional,P,N,"15,590","15,748",-1.00%
353,NE,MA,HYA,Hyannis,Cape Cod Gateway,P,N,"15,562","19,520",-20.28%
354,NE,ME,PQI,Presque Isle,Presque Isle International,P,N,"15,428","11,137",38.53%
355,NM,WY,RKS,Rock Springs,Southwest Wyoming Regional,P,N,"15,192","16,679",-8.92%
356,GL,SD,ATY,Watertown,Watertown Regional,P,N,"15,042","18,419",-18.33%
357,SO,GA,MCN,Macon,Middle Georgia Regional,P,N,"14,881","14,176",4.97%
358,SO,KY,PAH,Paducah,Barkley Regional,P,N,"14,677","13,643",7.58%
359,NE,RI,WST,Westerly,Westerly State,P,N,"14,435","16,925",-14.71%
360,NE,RI,BID,Block Island,Block Island State,P,N,"14,366","16,382",-12.31%
362,SO,MS,MEI,Meridian,Key Field,P,N,"13,999","12,050",16.17%
364,GL,MN,HIB,Hibbing,Range Regional,P,N,"13,460","12,672",6.22%
365,AL,AK,WRG,Wrangell,Wrangell,P,N,"13,337","12,100",10.22%
366,EA,NY,BGM,Binghamton,"Greater Binghamton/Edwin A Link
Field",P,N,"13,328","10,347",28.81%
367,AL,AK,MRI,Anchorage,Merrill Field,P,N,"13,279","22,907",-42.03%
368,SO,MS,PIB,Moselle,Hattiesburg/Laurel Regional,P,N,"13,125","13,853",-5.26%
369,NM,CO,FNL,Loveland,Northern Colorado Regional,P,N,"13,058","5,248",148.82%
370,GL,MI,APN,Alpena,Alpena County Regional,P,N,"13,046","12,486",4.49%
372,SW,NM,CVN,Clovis,Clovis Regional,P,N,"13,028","7,575",71.99%
373,NM,WY,RIW,Riverton,Central Wyoming Regional,P,N,"12,972","15,420",-15.88%
375,CE,NE,BFF,Scottsbluff,"Western Nebraska
Regional/William B Heilig Field",P,N,"12,548","13,310",-5.73%
Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,"CY 22
Enplanement s","CY 21
Enplanement s",% Change
376,NE,MA,BED,Bedford,Laurence G Hanscom Field,P,N,"12,502","9,572",30.61%
379,CE,NE,LBF,North Platte,"North Platte Regional/Lee Bird
Field",P,N,"12,306","13,679",-10.04%
380,GL,MN,INL,"International
Falls",Falls International/Einarson Field,P,N,"12,260","8,277",48.12%
381,NM,UT,CDC,Cedar City,Cedar City Regional,P,N,"12,245","12,807",-4.39%
382,AL,AK,YAK,Yakutat,Yakutat,P,N,"12,139","10,899",11.38%
383,NM,UT,OGD,Ogden,Ogden-Hinckley,P,N,"12,024","29,857",-59.73%
384,NM,ID,PIH,Arbon Valley,Pocatello Regional,P,N,"11,961","23,818",-49.78%
385,NM,CO,TEX,Telluride,Telluride Regional,P,N,"11,650","6,691",74.11%
386,WP,MP,GRO,Northern Islands (Municipality),Benjamin Taisacan Manglona International,P,N,"11,307","9,094",24.33%
387,GL,ND,JMS,Jamestown,Jamestown Regional,P,N,"11,299","12,804",-11.75%
388,GL,MI,MKG,Muskegon,Muskegon County,P,N,"11,292","12,741",-11.37%
390,NM,UT,VEL,Vernal,Vernal Regional,P,N,"11,071","9,168",20.76%
391,NM,WA,FHR,Friday Harbor,Friday Harbor,P,N,"10,883","14,054",-22.56%
393,WP,CA,BIH,Bishop,Bishop,P,N,"10,754","1,188",805.22%
395,SO,MS,GLH,Greenville,Greenville Mid-Delta,P,N,"10,452","5,608",86.38%
396,EA,VA,SHD,Weyers Cave,Shenandoah Valley Regional,P,N,"10,400","14,320",-27.37%
397,GL,IL,MWA,Marion,Veterans Airport of Southern Illinois,P,N,"10,399","10,522",-1.17%
398,AL,AK,GAL,Galena,Edward G Pitka Sr,P,N,"10,381","7,978",30.12%
399,AL,AK,GST,Gustavus,Gustavus,P,N,"10,179","10,305",-1.22%
401,WP,CA,SBD,San Bernardino,San Bernardino International,P,N,"10,142",906,1019.43%
402,CE,KS,HYS,Hays,Hays Regional,P,N,"10,089","11,081",-8.95%
403,EA,WV,LWB,Lewisburg,Greenbrier Valley,P,N,"10,048","10,902",-7.83%
,,,252,Nonhub Count,,,,,,
405,NM,CO,ALS,Alamosa,"San Luis Valley Regional/Bergman
Field",CS,None,"9,929","11,987",-17.17%
406,SO,FL,FXE,Fort Lauderdale,Fort Lauderdale Exec,CS,None,"9,902","8,897",11.30%
407,GL,IL,DEC,Decatur,Decatur,CS,None,"9,871","9,001",9.67%
408,NE,NH,LEB,Lebanon,Lebanon Municipal,CS,None,"9,855","7,597",29.72%
412,WP,CA,IPL,Imperial,Imperial County,CS,None,"9,180","5,181",77.19%
413,AL,AK,ENM,Emmonak,Emmonak,CS,None,"8,971","5,995",49.64%
414,CE,MO,CGI,Cape Girardeau,Cape Girardeau Regional,CS,None,"8,713","9,244",-5.74%
415,GL,MN,TVF,Thief River Falls,Thief River Falls Regional,CS,None,"8,648","7,423",16.50%
416,WP,NV,EKO,Elko,Elko Regional,CS,None,"8,459","15,641",-45.92%
417,NE,ME,BHB,Bar Harbor,Hancock County/Bar Harbor,CS,None,"8,396","8,874",-5.39%
419,WP,CA,CEC,Crescent City,Jack McNamara Field,CS,None,"8,218","7,743",6.13%
421,AL,AK,UNK,Unalakleet,Unalakleet,CS,None,"8,137","6,594",23.40%
423,CE,KS,LBL,Liberal,Liberal Mid-America Regional,CS,None,"8,019","6,653",20.53%
Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,"CY 22
Enplanement s","CY 21
Enplanement s",% Change
424,CE,MO,TBN,Fort Leonard Wood (U.S. Army),Waynesville-St Robert Regional Forney Field,CS,None,"7,988","11,340",-29.56%
425,NM,CO,PUB,Pueblo,Pueblo Memorial,CS,None,"7,984","9,624",-17.04%
426,EA,NY,OGS,Ogdensburg,Ogdensburg International,CS,None,"7,841","10,309",-23.94%
428,EA,PA,JST,Johnstown,"John Murtha Johnstown/Cambria
County",CS,None,"7,764","8,519",-8.86%
430,SW,TX,VCT,Victoria,Victoria Regional,CS,None,"7,505","6,610",13.54%
431,NE,MA,PVC,Provincetown,Provincetown Municipal,CS,None,"7,417","7,707",-3.76%
432,NM,WA,ORS,Eastsound,Orcas Island,CS,None,"7,365","10,138",-27.35%
433,GL,ND,DVL,Devils Lake,Devils Lake Regional,CS,None,"7,349","6,799",8.09%
434,NM,MT,WYS,"West
Yellowstone",Yellowstone,CS,None,"7,346","13,149",-44.13%
435,EA,WV,BKW,Beckley,Raleigh County Memorial,CS,None,"7,297","4,863",50.05%
436,EA,WV,MGW,Morgantown,"Morgantown Municipal/Walter L Bill
Hart Field",CS,None,"7,272","6,450",12.74%
437,AL,AK,HNS,Haines,Haines,CS,None,"7,253","7,206",0.65%
439,NE,ME,RKD,Rockland,Knox County Regional,CS,None,"7,161","12,149",-41.06%
440,SO,PR,MAZ,Mayaguez,Eugenio Maria De Hostos,CS,None,"7,059","6,294",12.15%
441,SO,AL,MSL,Muscle Shoals,Northwest Alabama Regional,CS,None,"7,049","6,614",6.58%
442,GL,MI,IWD,Ironwood,Gogebic/Iron County,CS,None,"7,027","4,763",47.53%
443,NM,CO,CEZ,Cortez,Cortez Municipal,CS,None,"6,998","6,195",12.96%
444,SW,NM,SKX,Taos,Taos Regional,CS,None,"6,891","2,305",198.96%
445,SW,NM,SVC,Silver City,Grant County,CS,None,"6,550","4,921",33.10%
446,NM,MT,SDY,Sidney,Sidney-Richland Regional,CS,None,"6,535","8,356",-21.79%
447,CE,IA,MCW,Clear Lake,Mason City Municipal,CS,None,"6,504","7,741",-15.98%
448,CE,KS,DDC,Dodge City,Dodge City Regional,CS,None,"6,464","8,246",-21.61%
450,WP,HI,LUP,Kalaupapa,Kalaupapa,CS,None,"6,362","2,193",190.10%
451,EA,PA,LNS,Lititz,Lancaster,CS,None,"6,274","4,072",54.08%
453,CE,MO,BBG,Branson,Branson,CS,None,"6,204","10,326",-39.92%
454,EA,PA,DUJ,Brookville,Dubois Regional,CS,None,"6,200","4,561",35.94%
455,AL,AK,HNH,Hoonah,Hoonah,CS,None,"5,950","5,575",6.73%
456,NE,ME,AUG,Augusta,Augusta State,CS,None,"5,804","3,836",51.30%
Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,"CY 22
Enplanement s","CY 21
Enplanement s",% Change
457,SW,AR,HRO,Harrison,Boone County,CS,None,"5,780","4,761",21.40%
458,NM,WA,W33,Friday Harbor,Friday Harbor,CS,None,"5,562","8,504",-34.60%
459,AL,AK,VDZ,Valdez,Valdez Pioneer Field,CS,None,"5,551","5,195",6.85%
460,NE,VT,RUT,Rutland,"Rutland/Southern Vermont
Regional",CS,None,"5,540","4,531",22.27%
461,CE,IA,FOD,Fort Dodge,Fort Dodge Regional,CS,None,"5,531","7,199",-23.17%
462,SW,NM,CNM,Carlsbad,Cavern City Air Terminal,CS,None,"5,311","4,571",16.19%
463,AL,AK,SGY,Skagway,Skagway,CS,None,"5,293","3,082",71.74%
465,AL,AK,CXF,Coldfoot,Coldfoot,CS,None,"5,212","3,546",46.98%
466,GL,MI,MBL,Manistee,Manistee County/Blacker,CS,None,"5,210","5,108",2.00%
467,EA,NY,SLK,Saranac Lake,Adirondack Regional,CS,None,"5,181","3,956",30.97%
468,NM,OR,PDT,Pendleton,"Eastern Oregon Regional at
Pendleton",CS,None,"5,079","4,258",19.28%
469,EA,WV,PKB,Parkersburg,Mid-Ohio Valley Regional,CS,None,"5,032","5,887",-14.52%
470,EA,DE,ILG,Wilmington,New Castle,CS,None,"5,006","12,476",-59.87%
471,WP,CA,HHR,Hawthorne,"Jack Northrop Field/Hawthorne
Municipal",CS,None,"5,001","3,483",43.58%
472,AL,AK,AQH,Quinhagak,Quinhagak,CS,None,"4,992","3,890",28.33%
473,SW,AR,HOT,Hot Springs,Memorial Field,CS,None,"4,975","4,388",13.38%
474,AL,AK,ANI,Aniak,Aniak,CS,None,"4,906","3,935",24.68%
475,AL,AK,VAK,Chevak,Chevak,CS,None,"4,806","3,489",37.75%
476,SO,FL,DTS,Destin,Destin Exec,CS,None,"4,801","1,765",172.01%
477,GL,IL,UIN,Quincy,Quincy Regional-Baldwin Field,CS,None,"4,774","7,418",-35.64%
478,AL,AK,FYU,Fort Yukon,Fort Yukon,CS,None,"4,728","4,163",13.57%
479,EA,NY,MSS,Massena,"Massena International-Richards
Field",CS,None,"4,721","3,662",28.92%
480,AL,AK,HPB,Hooper Bay,Hooper Bay,CS,None,"4,695","2,903",61.73%
481,AL,AK,KSM,Saint Mary's,St Mary's,CS,None,"4,680","2,982",56.94%
482,CE,MO,IRK,Kirksville,Kirksville Regional,CS,None,"4,667","4,099",13.86%
483,WP,AZ,SOW,Show Low,Show Low Regional,CS,None,"4,535","4,570",-0.77%
484,EA,PA,BFD,Bradford,Bradford Regional,CS,None,"4,509","3,361",34.16%
485,EA,PA,AOO,Altoona,Altoona/Blair County,CS,None,"4,442","4,278",3.83%
487,WP,HI,MUE,Kamuela,Waimea-Kohala,CS,None,"4,352","3,298",31.96%
Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,"CY 22
Enplanement s","CY 21
Enplanement s",% Change
489,NM,MT,GDV,Glendive,Dawson Community,CS,None,"4,313","2,126",102.87%
491,AL,AK,IIK,Kipnuk,Kipnuk,CS,None,"4,220","2,600",62.31%
493,CE,NE,AIA,Alliance,Alliance Municipal,CS,None,"4,156","3,543",17.30%
494,WP,CA,MMH,"Mammoth
Lakes",Mammoth Yosemite,CS,None,"4,056",462,777.92%
495,SW,AR,ELD,El Dorado,"South Arkansas Regional at
Goodwin Field",CS,None,"3,923","3,078",27.45%
496,SW,AR,JBR,Jonesboro,Jonesboro Municipal,CS,None,"3,812","4,041",-5.67%
497,AL,AK,SOV,Seldovia,Seldovia,CS,None,"3,738","3,469",7.75%
498,WP,CA,CRQ,Carlsbad,McClellan-Palomar,CS,None,"3,715","1,313",182.94%
499,CE,NE,CDR,Chadron,Chadron Municipal,CS,None,"3,641","2,891",25.94%
500,CE,IA,BRL,Burlington,Southeast Iowa Regional,CS,None,"3,605","3,547",1.64%
502,AL,AK,PHO,Point Hope,Point Hope,CS,None,"3,572","2,844",25.60%
503,AL,AK,SHH,Shishmaref,Shishmaref,CS,None,"3,552","2,822",25.87%
504,AL,AK,SCM,Scammon Bay,Scammon Bay,CS,None,"3,546","2,451",44.68%
505,AL,AK,WLK,Selawik,Selawik,CS,None,"3,522","2,806",25.52%
506,AL,AK,KAE,Kake,Kake,CS,None,"3,431",0,0.00%
507,WP,CA,MCE,Merced,Merced Yosemite Regional,CS,None,"3,431","5,301",-35.28%
508,AL,AK,WTK,Noatak,Noatak,CS,None,"3,402","2,506",35.75%
509,SO,TN,MKL,Jackson,McKellar-Sipes Regional,CS,None,"3,398","2,739",24.06%
510,AL,AK,BVK,Buckland,Buckland,CS,None,"3,362","2,625",28.08%
511,AL,AK,OOK,Toksook Bay,Toksook Bay,CS,None,"3,279","2,001",63.87%
512,AL,AK,CDB,Cold Bay,Cold Bay,CS,None,"3,240","3,814",-15.05%
513,NM,MT,OLF,Wolf Point,L M Clayton,CS,None,"3,207","3,601",-10.94%
514,AL,AK,Z09,Kasigluk,Kasigluk,CS,None,"3,182","2,171",46.57%
516,AL,AK,D76,Noorvik,Robert /Bob/ Curtis Memorial,CS,None,"3,096","2,386",29.76%
517,AL,AK,SVA,Savoonga,Savoonga,CS,None,"3,085","2,121",45.45%
518,NM,MT,GGW,Glasgow,"Wokal Field/Glasgow-Valley
County",CS,None,"2,982","3,388",-11.98%
519,WP,CA,SQL,San Carlos,San Carlos,CS,None,"2,957","4,257",-30.54%
520,NM,WA,S31,Lopez,Lopez Island,CS,None,"2,937",868,238.36%
521,AL,AK,KVL,Kivalina,Kivalina,CS,None,"2,896","2,185",32.54%
Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,"CY 22
Enplanement s","CY 21
Enplanement s",% Change
522,AL,AK,2A3,Larsen Bay,Larsen Bay,CS,None,"2,895","2,366",22.36%
523,AL,AK,CFK,Chefornak,Chefornak,CS,None,"2,887","1,672",72.67%
524,NM,MT,HVR,Havre,Havre City-County,CS,None,"2,863","3,395",-15.67%
525,AL,AK,AWI,Wainwright,Wainwright,CS,None,"2,860","2,356",21.39%
526,AL,AK,HLA,Huslia,Huslia,CS,None,"2,849","2,020",41.04%
528,AL,AK,GAM,Gambell,Gambell,CS,None,"2,842","1,963",44.78%
530,AL,AK,A61,Tuntutuliak,Tuntutuliak,CS,None,"2,788","1,942",43.56%
531,AL,AK,0AK,Pilot Station,Pilot Station,CS,None,"2,716","1,843",47.37%
533,AL,AK,DUY,Kongiganak,Kongiganak,CS,None,"2,679","1,901",40.93%
534,AL,AK,MCG,McGrath,McGrath,CS,None,"2,674","2,228",20.02%
536,AL,AK,ADK,Adak (Naval) Station/Mitchell Field,Adak,CS,None,"2,616","2,205",18.64%
537,AL,AK,EEK,Eek,Eek,CS,None,"2,612","1,429",82.79%
538,AL,AK,AKP,Anaktuvuk Pass,Anaktuvuk Pass,CS,None,"2,597","2,321",11.89%
539,WP,HI,HNM,Hana,Hana,CS,None,"2,562","2,315",10.67%
,,,113,"Nonprimary
Commercial Service",,,,,,
,,,389,"Total
Commercial Service",,,,,,
